Genre,ReleaseYear,RunTime,Rating
Drama,1994,142 min,9.3
Crime,1972,175 min,9.2
Drama,1972,175 min,9.2
Action,2008,152 min,9
Crime,2008,152 min,9
Drama,2008,152 min,9
Crime,1974,202 min,9
Drama,1974,202 min,9
Crime,1957,96 min,9
Drama,1957,96 min,9
Action,2003,201 min,8.9
Adventure,2003,201 min,8.9
Drama,2003,201 min,8.9
Crime,1994,154 min,8.9
Drama,1994,154 min,8.9
Biography,1993,195 min,8.9
Drama,1993,195 min,8.9
History,1993,195 min,8.9
Action,2010,148 min,8.8
Adventure,2010,148 min,8.8
Sci-Fi,2010,148 min,8.8
Drama,1999,139 min,8.8
Action,2001,178 min,8.8
Adventure,2001,178 min,8.8
Drama,2001,178 min,8.8
Drama,1994,142 min,8.8
Romance,1994,142 min,8.8
Western,1966,161 min,8.8
Action,2002,179 min,8.7
Adventure,2002,179 min,8.7
Drama,2002,179 min,8.7
Action,1999,136 min,8.7
Sci-Fi,1999,136 min,8.7
Biography,1990,146 min,8.7
Crime,1990,146 min,8.7
Drama,1990,146 min,8.7
Action,1980,124 min,8.7
Adventure,1980,124 min,8.7
Fantasy,1980,124 min,8.7
Drama,1975,133 min,8.7
Biography,2020,160 min,8.6
Drama,2020,160 min,8.6
History,2020,160 min,8.6
Comedy,2019,132 min,8.6
Drama,2019,132 min,8.6
Thriller,2019,132 min,8.6
Drama,2020,153 min,8.6
Adventure,2014,169 min,8.6
Drama,2014,169 min,8.6
Sci-Fi,2014,169 min,8.6
Crime,2002,130 min,8.6
Drama,2002,130 min,8.6
Animation,2001,125 min,8.6
Adventure,2001,125 min,8.6
Family,2001,125 min,8.6
Drama,1998,169 min,8.6
War,1998,169 min,8.6
Crime,1999,189 min,8.6
Drama,1999,189 min,8.6
Fantasy,1999,189 min,8.6
Comedy,1997,116 min,8.6
Drama,1997,116 min,8.6
Romance,1997,116 min,8.6
Crime,1995,127 min,8.6
Drama,1995,127 min,8.6
Mystery,1995,127 min,8.6
Crime,1991,118 min,8.6
Drama,1991,118 min,8.6
Thriller,1991,118 min,8.6
Action,1977,121 min,8.6
Adventure,1977,121 min,8.6
Fantasy,1977,121 min,8.6
Action,1962,133 min,8.6
Drama,1962,133 min,8.6
Mystery,1962,133 min,8.6
Action,1954,207 min,8.6
Adventure,1954,207 min,8.6
Drama,1954,207 min,8.6
Drama,1946,130 min,8.6
Family,1946,130 min,8.6
Fantasy,1946,130 min,8.6
Crime,2019,122 min,8.5
Drama,2019,122 min,8.5
Thriller,2019,122 min,8.5
Drama,2014,106 min,8.5
Music,2014,106 min,8.5
Biography,2011,112 min,8.5
Comedy,2011,112 min,8.5
Drama,2011,112 min,8.5
Drama,2006,130 min,8.5
Mystery,2006,130 min,8.5
Sci-Fi,2006,130 min,8.5
Crime,2006,151 min,8.5
Drama,2006,151 min,8.5
Thriller,2006,151 min,8.5
Biography,2002,150 min,8.5
Drama,2002,150 min,8.5
Music,2002,150 min,8.5
Action,2000,155 min,8.5
Adventure,2000,155 min,8.5
Drama,2000,155 min,8.5
Drama,1998,119 min,8.5
Crime,1995,106 min,8.5
Mystery,1995,106 min,8.5
Thriller,1995,106 min,8.5
Action,1994,110 min,8.5
Crime,1994,110 min,8.5
Drama,1994,110 min,8.5
Animation,1994,88 min,8.5
Adventure,1994,88 min,8.5
Drama,1994,88 min,8.5
Action,1991,137 min,8.5
Sci-Fi,1991,137 min,8.5
Drama,1988,155 min,8.5
Romance,1988,155 min,8.5
Animation,1988,89 min,8.5
Drama,1988,89 min,8.5
War,1988,89 min,8.5
Adventure,1985,116 min,8.5
Comedy,1985,116 min,8.5
Sci-Fi,1985,116 min,8.5
Western,1968,165 min,8.5
Horror,1960,109 min,8.5
Mystery,1960,109 min,8.5
Thriller,1960,109 min,8.5
Drama,1942,102 min,8.5
Romance,1942,102 min,8.5
War,1942,102 min,8.5
Comedy,1936,87 min,8.5
Drama,1936,87 min,8.5
Family,1936,87 min,8.5
Comedy,1931,87 min,8.5
Drama,1931,87 min,8.5
Romance,1931,87 min,8.5
Drama,2018,126 min,8.4
Biography,2017,125 min,8.4
Drama,2017,125 min,8.4
History,2017,125 min,8.4
Action,2017,147 min,8.4
Crime,2017,147 min,8.4
Drama,2017,147 min,8.4
Animation,2016,106 min,8.4
Drama,2016,106 min,8.4
Fantasy,2016,106 min,8.4
Action,2016,161 min,8.4
Biography,2016,161 min,8.4
Drama,2016,161 min,8.4
Animation,2018,117 min,8.4
Action,2018,117 min,8.4
Adventure,2018,117 min,8.4
Action,2019,181 min,8.4
Adventure,2019,181 min,8.4
Drama,2019,181 min,8.4
Action,2018,149 min,8.4
Adventure,2018,149 min,8.4
Sci-Fi,2018,149 min,8.4
Animation,2017,105 min,8.4
Adventure,2017,105 min,8.4
Family,2017,105 min,8.4
Drama,2012,165 min,8.4
Western,2012,165 min,8.4
Action,2012,164 min,8.4
Adventure,2012,164 min,8.4
Comedy,2009,170 min,8.4
Drama,2009,170 min,8.4
Drama,2007,165 min,8.4
Family,2007,165 min,8.4
Animation,2008,98 min,8.4
Adventure,2008,98 min,8.4
Family,2008,98 min,8.4
Drama,2006,137 min,8.4
Mystery,2006,137 min,8.4
Thriller,2006,137 min,8.4
Action,2003,101 min,8.4
Drama,2003,101 min,8.4
Mystery,2003,101 min,8.4
Mystery,2000,113 min,8.4
Thriller,2000,113 min,8.4
Animation,1997,134 min,8.4
Action,1997,134 min,8.4
Adventure,1997,134 min,8.4
Crime,1984,229 min,8.4
Drama,1984,229 min,8.4
Action,1981,115 min,8.4
Adventure,1981,115 min,8.4
Drama,1980,146 min,8.4
Horror,1980,146 min,8.4
Drama,1979,147 min,8.4
Mystery,1979,147 min,8.4
War,1979,147 min,8.4
Horror,1979,117 min,8.4
Sci-Fi,1979,117 min,8.4
Drama,1971,122 min,8.4
